BROKER,CODENVASE,SEMANA,CATE,CI_LO,CI_HI,N,N_TEMP,DIRECCION,N_OBS
CHENS SUN GROUP,C0535100,3,,-116.4795245189036,-27.101168650855293,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C0535100,4,1.6955927222309652,1.4288024914363815,1.9623829530255303,9045,6,MEJOR,394
CHENS SUN GROUP,C0535100,5,-0.37865184616725145,-0.5350430080380734,-0.22226068429642068,9045,6,PEOR,994
CHENS SUN GROUP,C0535100,6,0.4274849278812578,0.046027640737985154,0.8089422150245463,9045,6,MEJOR,361
CHENS SUN GROUP,C0535100,7,-0.8900737175844835,-1.2447165049949598,-0.5354309301739967,9045,6,PEOR,546
CHENS SUN GROUP,C0535100,8,0.4561629954400237,0.22401805147690962,0.6883079394031466,9045,6,MEJOR,555
CHENS SUN GROUP,C0535100,9,-1.7536724149801106,-2.0669992273224813,-1.4403456026377366,9045,6,PEOR,405
CHENS SUN GROUP,C0535100,10,1.456277689388171,1.2254992362470336,1.6870561425293003,9045,6,MEJOR,321
CHENS SUN GROUP,C0535100,11,0.7186034648291201,0.3738193419527193,1.0633875877055066,9045,6,MEJOR,185
CHENS SUN GROUP,C0535100,12,2.0940036148236203,1.5531971921888608,2.634810037458394,9045,6,MEJOR,181
CHENS SUN GROUP,C0535100,13,,-242.71430721793672,3595.8627242139382,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C0535100,14,,-1.6277974373646917,-0.16156583484966758,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C0535100,15,,-5367.575620965139,-5115.4227067101365,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4434125,3,,-17.34907844834106,17.08869190818213,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4434125,4,,-0.13068785763085355,0.5098772561800828,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4434125,5,,1.1813283682593605,1.5059648435368187,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4434125,6,,-1488.6343061392186,975.8508449251749,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4434125,7,,-1746.6623755383584,-816.3445544347819,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4434125,8,,-7.095425155949615,-0.24842480889179663,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4434125,9,,-4.8161051015497005,1.1400710654790673,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4434125,10,,-2484.151001736077,-2088.6067712460435,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4434125,11,,199.277212561946,341.37478691715546,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4434125,12,,2267.9475504739785,2476.169939323783,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4434125,13,,977.0555939564802,3423.038692632472,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4434125,14,,-5.173866744872374,2.9358047423351783,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4434125,15,,-3342.019183183167,-1959.984935470779,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C0635120,3,,-19.38738060677353,17.86389138498528,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C0635120,4,,-237.28033388880255,56.93811802150415,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C0635120,5,,86.10172024081064,125.61907475427189,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C0635120,6,,25.922730670023366,32.78445163304765,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C0635120,7,,1185.937876933776,1199.5034573547914,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C0635120,8,,-252.17860576435424,-190.3594587935301,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C0635120,9,,-331.9799551949734,-291.02463928598013,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C0635120,10,,10.614584356526057,13.968873924287772,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C0635120,11,,-0.3025263494620291,-0.03219850411445421,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C0635120,12,,1.5789904223281064,1.9455224206665194,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C0635120,13,,-0.9695944166458739,-0.5666955786347376,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C0635120,14,,-456.53623948826004,-403.9239004525238,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C0635120,15,,-858.1595997009431,1242.859453304962,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P0232087,3,,-17.34907844834082,17.088691908182216,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P0232087,4,,0.00809514663641088,0.249016540925108,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P0232087,5,,1864.9251260212693,4283.647127727738,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P0232087,6,,450.2513908815906,530.9722748424522,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P0232087,7,,-0.23032305068164866,0.1896412942458393,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P0232087,8,,0.4034198258990336,0.7926504385398752,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P0232087,9,,9.833216018992186,19.551693797326937,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P0232087,10,,-4.910269000886953,-1.9157006951579694,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P0232087,11,,-3414.6617971763962,6358.256341968012,9045,6,SIN SOPORTE,0
