,CODENVASE,SEMANA,CATE,CI_LO,CI_HI,N,N_TEMP,DIRECCION
32,C4434125,9,53.601717917515685,-59.01748201616483,166.2209178511978,12982,6,INCIERTO
33,C4434125,10,62.40954325261129,-18.378692143768255,143.19777864899086,12982,6,INCIERTO
34,C4434125,11,-42.33168213696601,-154.30480849284768,69.64144421891555,12982,6,INCIERTO
35,C4434125,12,79.92763449191438,22.97920221892049,136.87606676490833,12982,6,MEJOR
36,C4434125,13,-103.06383684448303,-311.5251469530706,105.39747326410449,12982,6,INCIERTO
37,C4434125,14,2.734979070576144,-140.30022035709757,145.77017849824983,12982,6,INCIERTO
38,C4434125,15,171.15710576840243,60.98175972562311,281.33245181118167,12982,6,MEJOR
39,C0635120,3,6.140433094271482,4.994050380487115,7.286815808055858,34977,6,MEJOR
40,C0635120,4,6.790749094198679,6.112119276991536,7.469378911405819,34977,6,MEJOR
41,C0635120,5,12.485244392527974,11.993026852446324,12.977461932609629,34977,6,MEJOR
42,C0635120,6,11.208886802890941,11.023532545414684,11.394241060367202,34977,6,MEJOR
43,C0635120,7,9.958723745159885,9.761560140704287,10.155887349615476,34977,6,MEJOR
44,C0635120,8,7.431050897217525,7.158030257296845,7.704071537138205,34977,6,MEJOR
45,C0635120,9,11.327868283330139,10.894875991671789,11.760860574988499,34977,6,MEJOR
46,C0635120,10,16.17757721312537,15.391512649475866,16.96364177677487,34977,6,MEJOR
47,C0635120,11,16.239975808529476,14.697686969542369,17.782264647516577,34977,6,MEJOR
48,C0635120,12,5.864270243334938,5.030753003490341,6.697787483179535,34977,6,MEJOR
49,C0635120,13,8.323227791427003,6.681803488187391,9.964652094666612,34977,6,MEJOR
50,C0635120,14,11.133338380184028,9.881541711320487,12.38513504904757,34977,6,MEJOR
51,C0635120,15,21.791198874620928,-1.5911980069818483,45.173595756223804,34977,6,INCIERTO
52,P0232087,3,-16.03122336037898,-18.09536332286172,-13.967083397896245,15114,4,PEOR
53,P0232087,4,-11.474464796581126,-12.445975360590284,-10.50295423257197,15114,4,PEOR
54,P0232087,5,-10.422110091217005,-10.882106266584131,-9.962113915849873,15114,4,PEOR
55,P0232087,6,-9.589723141481691,-10.113327000767134,-9.066119282196249,15114,4,PEOR
56,P0232087,7,-10.134632384944462,-10.593138767043985,-9.676126002844939,15114,4,PEOR
57,P0232087,8,-8.31195010902019,-8.74476348441071,-7.879136733629674,15114,4,PEOR
58,P0232087,9,-13.723126772589497,-13.972970056570073,-13.47328348860892,15114,4,PEOR
59,P0232087,10,-20.243831781236246,-21.206198671315672,-19.28146489115684,15114,4,PEOR
60,P0232087,11,-14.842073115819655,-15.592703454048866,-14.091442777590455,15114,4,PEOR
61,P0232087,12,-12.453260306708751,-13.155053093907714,-11.751467519509795,15114,4,PEOR
62,P0232087,13,-26.255414904212394,-29.969772942501677,-22.541056865923096,15114,4,PEOR
63,P0232087,14,-16.604240679794376,-21.90457833875776,-11.303903020831005,15114,4,PEOR
64,P0232087,15,-23.62038111605919,-33.48496168673864,-13.755800545379737,15114,4,PEOR
65,P2532103,3,-4.904881827096259,-10.21718376020602,0.4074201060135021,12147,4,INCIERTO
66,P2532103,4,-8.766471753122175,-9.672075626861831,-7.8608678793825195,12147,4,PEOR
67,P2532103,5,-8.142732205564835,-9.421950076874626,-6.863514334255037,12147,4,PEOR
68,P2532103,6,-6.208899141620388,-6.547172152397112,-5.87062613084367,12147,4,PEOR
69,P2532103,7,-7.703909821017791,-8.180551273411687,-7.227268368623894,12147,4,PEOR
70,P2532103,8,-8.474688673909853,-8.655107810753808,-8.294269537065894,12147,4,PEOR
71,P2532103,9,-13.035191966469627,-13.286142657560877,-12.784241275378385,12147,4,PEOR
72,P2532103,10,-5.748047659797307,-7.561267328699039,-3.9348279908955686,12147,4,PEOR
73,P2532103,11,-6.2984255057082095,-7.822526117185291,-4.774324894231132,12147,4,PEOR
74,P2532103,12,-8.907867531528721,-9.460175876113688,-8.355559186943747,12147,4,PEOR
75,P2532103,13,-11.520389637220987,-13.050761498533362,-9.990017775908594,12147,4,PEOR
76,P2532103,14,-14.095347998949245,-14.655370440876716,-13.535325557021775,12147,4,PEOR
77,P2532103,15,1.318225151119302,-6.87012396768055,9.506574269919147,12147,4,INCIERTO
