,VARIEDAD,SEMANA,BROKER_OPTIMO,GANANCIA_VS_FF,CI_LO,CI_HI,DIRECCION
173,ROYAL RAINIER,7,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
174,ROYAL RAINIER,8,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
175,ROYAL RAINIER,9,SHANGHAI IVCSUN INDUSTRIAL DEV,0.5332155972719193,0.04771037223540053,1.0187208223084379,MEJOR
176,ROYAL RAINIER,10,SHANGHAI IVCSUN INDUSTRIAL DEV,1.8160691270022653,0.6999809651308098,2.932157288844617,MEJOR
177,ROYAL RAINIER,11,SHANGHAI YUQIAN (Z FRUIT),3.2536630630493164,1.7550250373425882,4.752302042430361,MEJOR
178,ROYAL RAINIER,12,SHANGHAI IVCSUN INDUSTRIAL DEV,1.415430349041344,-0.10756646247977386,2.9384271605642804,INCIERTO
179,ROYAL RAINIER,13,SHANGHAI YUQIAN (Z FRUIT),2.695786237716675,0.3039811361971472,5.087593246584834,MEJOR
180,ROYAL RAINIER,14,SHANGHAI YUQIAN (Z FRUIT),0.7371134255081415,0.32303166306319014,1.1511951795711897,MEJOR
181,ROYAL RAINIER,15,SHANGHAI YUQIAN (Z FRUIT),2.698881203774363,0.2520233806733261,5.1457390152338665,MEJOR
182,SANTINA,3,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
183,SANTINA,4,JINHUA WUZHOU FRUIT CO. LTD ,0.9217203847866156,0.36005325190499704,1.4833875176682483,MEJOR
184,SANTINA,5,NINGBO XIANFENG FRUIT TRADING,0.9579403475978481,0.6887371986753453,1.2271434965203507,MEJOR
185,SANTINA,6,HEMA,0.6893859752140452,0.5322918910874401,0.8464800593406525,MEJOR
186,SANTINA,7,FRUTACLOUD,0.5327859502168973,0.442604141530913,0.6229677589028886,MEJOR
187,SANTINA,8,GUANGZHOU QINGUO IMPORT & EXPO,0.38602883936962806,0.33083787541268855,0.4412198033265667,MEJOR
188,SANTINA,9,GUANGZHOU QINGUO IMPORT & EXPO,0.9251276845025029,0.8599947686033746,0.990260600401629,MEJOR
189,SANTINA,10,GUANGZHOU QINGUO IMPORT & EXPO,0.8270517698048607,0.7094515853959972,0.9446519542137172,MEJOR
190,SANTINA,11,HEMA,0.9646989241307895,0.7993989908190791,1.1299988574425037,MEJOR
191,SANTINA,12,"ZHEJIANG SANGO TRADE CO., LTD",0.95626747650092,0.8942703816264895,1.0182645713753433,MEJOR
192,SANTINA,13,FRUTACLOUD,11.896604888258025,3.93267874100341,19.86053103573001,MEJOR
193,SANTINA,14,"ZHEJIANG SANGO TRADE CO., LTD",1.3080342813973278,1.2411175343134306,1.3749510284812356,MEJOR
194,SANTINA,15,"FUJIAN SUN VIRTUE CO.,LTD",1.9376019784249365,1.725579860712447,2.1496240961374258,MEJOR
