BROKER,CALIBRE,SEMANA,CATE,CI_LO,CI_HI,N,N_TEMP,DIRECCION,N_OBS
ANHUI 5 STARS,XLD,5,0.3156498492741755,-2.05711380583936,2.688413504104659,6649,6,INCIERTO,26
ANHUI 5 STARS,XLD,6,-0.8399752808112018,-1.593685226783791,-0.0862653348403426,6649,6,PEOR,32
ANHUI 5 STARS,XLD,7,-2.428349640051646,-4.741580685484979,-0.11511859461828555,6649,6,PEOR,21
ANHUI 5 STARS,XLD,8,-2.2881267963110155,-3.2976542238591326,-1.2785993687625505,6649,6,PEOR,26
ANHUI 5 STARS,XLD,9,-0.3400952450969199,-1.5930114237860946,0.9128209336210493,6649,6,INCIERTO,11
ANHUI 5 STARS,XLD,10,,20.99003373480814,42.41488827532789,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLD,11,1.6550863994818918,1.3379792910763435,1.9721935078871773,6649,6,MEJOR,12
ANHUI 5 STARS,XLD,12,,-38.538193708266775,152.63379211686987,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLD,13,,-328.81055657038326,133.6227939826736,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLD,14,,161.7519023734827,612.2314181937285,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLD,15,,175.18855804710938,2203.45329041273,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLDD,3,,1.4120632277357514,6.2212501628248855,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLDD,4,,2.0572863876111613,5.767323629793163,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLDD,5,,2.680404039392869,3.0357860577349736,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLDD,6,,-0.745073104038108,0.5887179455881403,6649,6,SIN SOPORTE,2
ANHUI 5 STARS,XLDD,7,,-1.932663156294684,-0.06855042683401869,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLDD,8,,-2.483393801354384,-0.9331558181091117,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLDD,9,,-4.5398655301565904,-3.1643702642900147,6649,6,SIN SOPORTE,0
