BROKER,SEMANA,CATE,CI_LO,CI_HI,N,N_TEMP,DIRECCION,N_OBS
CHENS SUN GROUP,4,0.24004293819168587,0.19243333341598398,0.28765254296738757,9045,6,MEJOR,774
CHENS SUN GROUP,5,0.08573278287801421,0.04604602427170752,0.12541954148432094,9045,6,MEJOR,1846
CHENS SUN GROUP,6,0.10014978951867272,0.05725314805466929,0.1430464309826761,9045,6,MEJOR,1016
CHENS SUN GROUP,7,-0.03563537094498208,-0.09301456909994528,0.02174382720998111,9045,6,INCIERTO,1097
CHENS SUN GROUP,8,0.06814637267597423,0.04157842858023329,0.09471431677171527,9045,6,MEJOR,1171
CHENS SUN GROUP,9,-0.21068275011581036,-0.2716847798411009,-0.1496807203905197,9045,6,PEOR,1254
CHENS SUN GROUP,10,0.3571482272995858,0.2962445115588688,0.4180519430403026,9045,6,MEJOR,871
CHENS SUN GROUP,11,0.2307380261573437,0.20272341692853493,0.2587526353861525,9045,6,MEJOR,484
CHENS SUN GROUP,12,0.42436417398091514,0.3353757794316928,0.5133525685301377,9045,6,MEJOR,349
CHENS SUN GROUP,13,0.16056193938650656,0.10811751264560035,0.21300636612741297,9045,6,MEJOR,183
CHENS SUN GROUP,14,,1.402501991036094,11.526132998283325,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,15,,-16.9066877857813,0.007768268629376962,9045,6,SIN SOPORTE,0
"FUJIAN SUN VIRTUE CO.,LTD",3,0.10468889865887443,0.02376928815821866,0.1856085091595302,20802,6,MEJOR,615
"FUJIAN SUN VIRTUE CO.,LTD",4,0.4713964185953411,0.42865629659443166,0.5141365405962506,20802,6,MEJOR,1600
"FUJIAN SUN VIRTUE CO.,LTD",5,0.28354799198852637,0.25156439655916457,0.3155315874178884,20802,6,MEJOR,1706
"FUJIAN SUN VIRTUE CO.,LTD",6,0.05667495600668396,0.036078971541756696,0.07727094047161122,20802,6,MEJOR,3591
"FUJIAN SUN VIRTUE CO.,LTD",7,0.11861838625293764,0.09517125894157322,0.1420655135643021,20802,6,MEJOR,3204
"FUJIAN SUN VIRTUE CO.,LTD",8,0.1602437693748939,0.12914602862207744,0.19134151012771033,20802,6,MEJOR,2708
"FUJIAN SUN VIRTUE CO.,LTD",9,0.4808324164913063,0.40717707729998487,0.5544877556826275,20802,6,MEJOR,2169
"FUJIAN SUN VIRTUE CO.,LTD",10,0.2219628631495995,0.17140382442282165,0.27252190187637737,20802,6,MEJOR,1379
"FUJIAN SUN VIRTUE CO.,LTD",11,0.11669030451942365,0.07186288172818112,0.16151772731066608,20802,6,MEJOR,1369
"FUJIAN SUN VIRTUE CO.,LTD",12,0.6542259878457349,0.5770150892326217,0.7314368864588473,20802,6,MEJOR,1176
"FUJIAN SUN VIRTUE CO.,LTD",13,0.5181707903758448,0.2864722971023864,0.7498692836493032,20802,6,MEJOR,303
"FUJIAN SUN VIRTUE CO.,LTD",14,0.6583712381264024,0.5295699879087357,0.7871724883440692,20802,6,MEJOR,897
"FUJIAN SUN VIRTUE CO.,LTD",15,1.797989715738571,1.44285497013338,2.153124461343761,20802,6,MEJOR,85
FAIKEE FRUIT LIMITED,3,0.8445133078038985,0.630853781612839,1.0581728339949574,23626,6,MEJOR,527
FAIKEE FRUIT LIMITED,4,0.16688091266271335,0.10538821260632053,0.22837361271910608,23626,6,MEJOR,2214
FAIKEE FRUIT LIMITED,5,0.38035749573403616,0.33483767682248905,0.42587731464558304,23626,6,MEJOR,2530
FAIKEE FRUIT LIMITED,6,0.013927550573712246,-0.013803567086721874,0.04165866823414637,23626,6,INCIERTO,3531
FAIKEE FRUIT LIMITED,7,-0.03798268656035978,-0.06012369206055744,-0.015841681060162153,23626,6,PEOR,3386
FAIKEE FRUIT LIMITED,8,0.3131038070164018,0.2860949362113857,0.3401126778214182,23626,6,MEJOR,2373
FAIKEE FRUIT LIMITED,9,0.1884743732463892,0.1480508003150589,0.22889794617771936,23626,6,MEJOR,3131
FAIKEE FRUIT LIMITED,10,-0.11008010228893983,-0.1658366797130112,-0.054323524864868473,23626,6,PEOR,2416
FAIKEE FRUIT LIMITED,11,-0.14922177883070858,-0.19591028865157473,-0.1025332690098424,23626,6,PEOR,1385
FAIKEE FRUIT LIMITED,12,0.5369275832754592,0.47781312418240296,0.5960420423685154,23626,6,MEJOR,1263
FAIKEE FRUIT LIMITED,13,-0.2800095852337222,-0.44804385031612853,-0.11197532015131592,23626,6,PEOR,413
FAIKEE FRUIT LIMITED,14,0.405881290221213,0.12378465410927414,0.6879779263331518,23626,6,MEJOR,333
FAIKEE FRUIT LIMITED,15,1.8847221883400234,1.2387940145868412,2.5306503620932053,23626,6,MEJOR,124
NINGBO XIANFENG FRUIT TRADING,3,0.06108918315937807,-0.00562504449274677,0.12780341081150295,26139,6,INCIERTO,157
NINGBO XIANFENG FRUIT TRADING,4,-0.227231731125678,-0.27597178417212803,-0.17849167807922794,26139,6,PEOR,1452
NINGBO XIANFENG FRUIT TRADING,5,-0.03247061949842476,-0.06648318614045637,0.0015419471436068505,26139,6,INCIERTO,3451
NINGBO XIANFENG FRUIT TRADING,6,0.05482755616828987,0.027377281985398638,0.08227783035118111,26139,6,MEJOR,4000
NINGBO XIANFENG FRUIT TRADING,7,-0.18550694160613393,-0.20836215282121734,-0.1626517303910503,26139,6,PEOR,3313
NINGBO XIANFENG FRUIT TRADING,8,0.014397332490679945,-0.025989905655079984,0.054784570636439864,26139,6,INCIERTO,3016
NINGBO XIANFENG FRUIT TRADING,9,0.04571278439588901,-0.02549826619407393,0.11692383498585193,26139,6,INCIERTO,3292
NINGBO XIANFENG FRUIT TRADING,10,-0.01019776878832078,-0.046651984087212335,0.02625644651057077,26139,6,INCIERTO,2639
NINGBO XIANFENG FRUIT TRADING,11,-0.28019910230931067,-0.35922252950448724,-0.20117567511413464,26139,6,PEOR,1626
NINGBO XIANFENG FRUIT TRADING,12,0.20659125233328446,0.14290814671379512,0.2702743579527739,26139,6,MEJOR,1436
NINGBO XIANFENG FRUIT TRADING,13,-0.5561804829903201,-0.7157651823858565,-0.39659578359478437,26139,6,PEOR,354
NINGBO XIANFENG FRUIT TRADING,14,0.43973584332647014,0.3002991854791023,0.5791725011738382,26139,6,MEJOR,1026
NINGBO XIANFENG FRUIT TRADING,15,-0.6083716503353453,-0.7964827614649636,-0.420260539205727,26139,6,PEOR,377
LAIFU,3,-1.0155617509244945,-1.2706144896752831,-0.7605090121737061,7773,6,PEOR,82
LAIFU,4,-0.0022865883632881548,-0.09599857644841522,0.0914253997218389,7773,6,INCIERTO,687
LAIFU,5,0.45789048353900547,0.41131409386051415,0.5044668732174967,7773,6,MEJOR,918
LAIFU,6,0.4794412724117238,0.4327023009944937,0.5261802438289537,7773,6,MEJOR,1556
LAIFU,7,0.020191028249314562,-0.016292958890166125,0.05667501538879522,7773,6,INCIERTO,1201
LAIFU,8,0.18621153920374237,0.13894292633115823,0.2334801520763265,7773,6,MEJOR,1064
LAIFU,9,-0.5068817840567322,-0.560210628086783,-0.45355294002668123,7773,6,PEOR,852
LAIFU,10,-0.5113896543423482,-0.5839570098655827,-0.4388222988191136,7773,6,PEOR,448
LAIFU,11,-0.24486628041381947,-0.30338772240145645,-0.18634483842618238,7773,6,PEOR,474
LAIFU,12,0.7865191678186796,0.7379485622308251,0.8350897734065339,7773,6,MEJOR,335
LAIFU,13,-0.14512601425114557,-0.23790783584151295,-0.05234419266077815,7773,6,PEOR,156
LAIFU,14,,-0.31640592431290016,-0.018662473857949224,7773,6,SIN SOPORTE,0
LAIFU,15,,-0.30451595665843095,-0.056920864049618894,7773,6,SIN SOPORTE,0
GUANGZHOU QINGUO IMPORT & EXPO,3,0.16838843317804694,-0.2224761686619986,0.5592530350180921,12288,6,INCIERTO,144
GUANGZHOU QINGUO IMPORT & EXPO,4,0.08874057409563975,0.03767362997304052,0.1398075182182389,12288,6,MEJOR,1200
GUANGZHOU QINGUO IMPORT & EXPO,5,-0.39082733215525295,-0.4393618572798149,-0.342292807030691,12288,6,PEOR,1482
GUANGZHOU QINGUO IMPORT & EXPO,6,0.2527007498421208,0.2217795755489444,0.2836219241352969,12288,6,MEJOR,2137
GUANGZHOU QINGUO IMPORT & EXPO,7,0.23923659179052464,0.21016342793052467,0.2683097556505248,12288,6,MEJOR,2130
GUANGZHOU QINGUO IMPORT & EXPO,8,0.48637255068285506,0.4465286265820675,0.5262164747836426,12288,6,MEJOR,1415
GUANGZHOU QINGUO IMPORT & EXPO,9,0.46442607252600365,0.3968309266381664,0.5320212184138409,12288,6,MEJOR,1569
GUANGZHOU QINGUO IMPORT & EXPO,10,0.13790511945444725,0.06482189698710501,0.21098834192178936,12288,6,MEJOR,817
GUANGZHOU QINGUO IMPORT & EXPO,11,0.024078870904444095,-0.04061337237418343,0.0887711141830716,12288,6,INCIERTO,771
GUANGZHOU QINGUO IMPORT & EXPO,12,0.4699365787926619,0.37634227660432856,0.5635308809809948,12288,6,MEJOR,366
GUANGZHOU QINGUO IMPORT & EXPO,13,-0.3805089357892174,-0.6253535380953481,-0.13566433348308674,12288,6,PEOR,100
GUANGZHOU QINGUO IMPORT & EXPO,14,0.5452966983067601,0.3582902456732966,0.7323031509402238,12288,6,MEJOR,157
