BROKER,CALIBRE,SEMANA,CATE,CI_LO,CI_HI,N,N_TEMP,DIRECCION
SHENYANG QUPAI TRADING CO. LTD,4JDD,4,0.21202605673867758,-0.4945433065618233,0.9185954200391713,60297,6,INCIERTO
SHENYANG QUPAI TRADING CO. LTD,4JDD,5,0.49422563263215125,0.040994531228737696,0.9474567321729195,60297,6,MEJOR
SHENYANG QUPAI TRADING CO. LTD,4JDD,6,-0.3594038885889219,-0.6364930239168325,-0.0823147532606916,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,4JDD,7,-0.13382763908987094,-0.41742695923670947,0.14977168105696398,60297,6,INCIERTO
SHENYANG QUPAI TRADING CO. LTD,4JDD,8,0.39196343626827,0.1790523999959053,0.6048744734719573,60297,6,MEJOR
SHENYANG QUPAI TRADING CO. LTD,4JDD,9,0.24193589882397992,-0.3681878553104543,0.8520596529584112,60297,6,INCIERTO
SHENYANG QUPAI TRADING CO. LTD,4JDD,10,0.23359265510754312,0.0011161968038547743,0.46606911341124563,60297,6,MEJOR
SHENYANG QUPAI TRADING CO. LTD,4JDD,11,-0.18737991085936487,-0.4760828798282201,0.1013230581094895,60297,6,INCIERTO
SHENYANG QUPAI TRADING CO. LTD,4JDD,12,0.21913252562863295,0.01221970682769577,0.4260453444295679,60297,6,MEJOR
SHENYANG QUPAI TRADING CO. LTD,4JDD,13,-1.5327718484118644,-2.5913545261061577,-0.47418917071757205,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,4JDD,14,0.24755831892803168,-0.16426072653416968,0.6593773643902309,60297,6,INCIERTO
SHENYANG QUPAI TRADING CO. LTD,4JDD,15,0.5486461030668579,-0.0995789401933741,1.1968711463125379,60297,6,INCIERTO
SHENYANG QUPAI TRADING CO. LTD,5JDD,3,1.5082938623680753,1.0969867857019147,1.9196009390361755,60297,6,MEJOR
SHENYANG QUPAI TRADING CO. LTD,5JDD,4,0.42914318268177176,0.3425622616514493,0.5157241037121049,60297,6,MEJOR
SHENYANG QUPAI TRADING CO. LTD,5JDD,5,0.32183683932219775,0.2571664045251977,0.3865072741192013,60297,6,MEJOR
SHENYANG QUPAI TRADING CO. LTD,5JDD,6,-0.08949939412033789,-0.11719148846894811,-0.06180729977172733,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,5JDD,7,0.05134068640104594,0.014743571458384577,0.08793780134370374,60297,6,MEJOR
SHENYANG QUPAI TRADING CO. LTD,5JDD,8,0.012792632428087813,-0.054069061461901685,0.07965432631807019,60297,6,INCIERTO
